Produktgruppe;Produktgruppe Bezeichnung;E_A;Haushaltsposition;Jahr;Euro
1.10.01;Wahlen;A;Abschreibungen;2008;28.081,83
1.10.01;Wahlen;A;Abschreibungen;2009;16.000,00
1.10.01;Wahlen;A;Abschreibungen;2010;11.607,00
1.10.01;Wahlen;A;Abschreibungen;2011;10.026,00
1.10.01;Wahlen;A;Abschreibungen;2012;6.000,00
1.10.01;Wahlen;A;Abschreibungen;2013;6.000,00
1.10.01;Wahlen;A;Aufwendungen für Sach- und Dienstleistungen;2008;606.063,28
1.10.01;Wahlen;A;Aufwendungen für Sach- und Dienstleistungen;2009;1.349.000,00
1.10.01;Wahlen;A;Aufwendungen für Sach- und Dienstleistungen;2010;651.000,00
1.10.01;Wahlen;A;Aufwendungen für Sach- und Dienstleistungen;2011;1.852.000,00
1.10.01;Wahlen;A;Aufwendungen für Sach- und Dienstleistungen;2012;597.000,00
1.10.01;Wahlen;A;Aufwendungen für Sach- und Dienstleistungen;2013;2.013.000,00
1.10.01;Wahlen;A;Personalaufwendungen;2008;354.189,57
1.10.01;Wahlen;A;Personalaufwendungen;2009;690.000,00
1.10.01;Wahlen;A;Personalaufwendungen;2010;461.000,00
1.10.01;Wahlen;A;Personalaufwendungen;2011;551.000,00
1.10.01;Wahlen;A;Personalaufwendungen;2012;651.000,00
1.10.01;Wahlen;A;Personalaufwendungen;2013;851.000,00
1.10.01;Wahlen;A;Versorgungsaufwendungen;2008;58.876,60
1.10.01;Wahlen;A;Versorgungsaufwendungen;2009;160.000,00
1.10.01;Wahlen;A;Versorgungsaufwendungen;2010;173.000,00
1.10.01;Wahlen;A;Versorgungsaufwendungen;2011;174.000,00
1.10.01;Wahlen;A;Versorgungsaufwendungen;2012;174.000,00
1.10.01;Wahlen;A;Versorgungsaufwendungen;2013;174.000,00
1.10.01;Wahlen;E;Finanzerträge;2009;0,00
1.10.01;Wahlen;E;Kostenersatzleistungen und -erstattungen;2008;353.880,07
1.10.01;Wahlen;E;Kostenersatzleistungen und -erstattungen;2009;654.000,00
1.10.01;Wahlen;E;Sonstige ordentliche Erträge;2008;11,50
1.10.01;Wahlen;E;Sonstige ordentliche Erträge;2009;1.000,00
1.10.01;Wahlen;E;Sonstige ordentliche Erträge;2010;1.000,00
1.10.01;Wahlen;E;Sonstige ordentliche Erträge;2011;1.000,00
1.10.01;Wahlen;E;Sonstige ordentliche Erträge;2012;1.000,00
1.10.01;Wahlen;E;Sonstige ordentliche Erträge;2013;1.000,00
1.10.03;Integration und Antidiskriminierung;A;Abschreibungen;2008;22.599,63
1.10.03;Integration und Antidiskriminierung;A;Abschreibungen;2009;9.000,00
1.10.03;Integration und Antidiskriminierung;A;Abschreibungen;2010;14.035,00
1.10.03;Integration und Antidiskriminierung;A;Abschreibungen;2011;14.512,00
1.10.03;Integration und Antidiskriminierung;A;Abschreibungen;2012;8.000,00
1.10.03;Integration und Antidiskriminierung;A;Abschreibungen;2013;3.000,00
1.10.03;Integration und Antidiskriminierung;A;Aufwendungen für Sach- und Dienstleistungen;2008;1.448.977,34
1.10.03;Integration und Antidiskriminierung;A;Aufwendungen für Sach- und Dienstleistungen;2009;1.443.000,00
1.10.03;Integration und Antidiskriminierung;A;Aufwendungen für Sach- und Dienstleistungen;2010;1.508.000,00
1.10.03;Integration und Antidiskriminierung;A;Aufwendungen für Sach- und Dienstleistungen;2011;1.508.000,00
1.10.03;Integration und Antidiskriminierung;A;Aufwendungen für Sach- und Dienstleistungen;2012;1.508.000,00
1.10.03;Integration und Antidiskriminierung;A;Aufwendungen für Sach- und Dienstleistungen;2013;1.508.000,00
1.10.03;Integration und Antidiskriminierung;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2008;339.309,74
1.10.03;Integration und Antidiskriminierung;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2009;211.000,00
1.10.03;Integration und Antidiskriminierung;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2010;196.000,00
1.10.03;Integration und Antidiskriminierung;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2011;196.000,00
1.10.03;Integration und Antidiskriminierung;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2012;196.000,00
1.10.03;Integration und Antidiskriminierung;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2013;196.000,00
1.10.03;Integration und Antidiskriminierung;A;Personalaufwendungen;2008;1.012.265,73
1.10.03;Integration und Antidiskriminierung;A;Personalaufwendungen;2009;1.320.000,00
1.10.03;Integration und Antidiskriminierung;A;Personalaufwendungen;2010;1.403.000,00
1.10.03;Integration und Antidiskriminierung;A;Personalaufwendungen;2011;1.403.000,00
1.10.03;Integration und Antidiskriminierung;A;Personalaufwendungen;2012;1.403.000,00
1.10.03;Integration und Antidiskriminierung;A;Personalaufwendungen;2013;1.403.000,00
1.10.03;Integration und Antidiskriminierung;A;Versorgungsaufwendungen;2008;120.719,94
1.10.03;Integration und Antidiskriminierung;A;Versorgungsaufwendungen;2009;123.000,00
1.10.03;Integration und Antidiskriminierung;A;Versorgungsaufwendungen;2010;122.000,00
1.10.03;Integration und Antidiskriminierung;A;Versorgungsaufwendungen;2011;130.000,00
1.10.03;Integration und Antidiskriminierung;A;Versorgungsaufwendungen;2012;130.000,00
1.10.03;Integration und Antidiskriminierung;A;Versorgungsaufwendungen;2013;130.000,00
1.10.03;Integration und Antidiskriminierung;E;Erträge aus Zuweisungen und Zuschüssen für laufende Zwecke und allgemeine Umlagen;2008;194.524,03
1.10.03;Integration und Antidiskriminierung;E;Kostenersatzleistungen und -erstattungen;2008;5.130,00
1.10.03;Integration und Antidiskriminierung;E;Privatrechtliche Leistungsentgelte;2008;1.121,53
1.10.03;Integration und Antidiskriminierung;E;Privatrechtliche Leistungsentgelte;2009;2.000,00
1.10.03;Integration und Antidiskriminierung;E;Privatrechtliche Leistungsentgelte;2010;2.000,00
1.10.03;Integration und Antidiskriminierung;E;Privatrechtliche Leistungsentgelte;2011;2.000,00
1.10.03;Integration und Antidiskriminierung;E;Privatrechtliche Leistungsentgelte;2012;2.000,00
1.10.03;Integration und Antidiskriminierung;E;Privatrechtliche Leistungsentgelte;2013;2.000,00
1.10.03;Integration und Antidiskriminierung;E;Sonstige ordentliche Erträge;2008;4.111,22
1.10.03;Integration und Antidiskriminierung;E;Sonstige ordentliche Erträge;2009;1.000,00
1.10.03;Integration und Antidiskriminierung;E;Sonstige ordentliche Erträge;2010;1.000,00
1.10.03;Integration und Antidiskriminierung;E;Sonstige ordentliche Erträge;2011;1.000,00
1.10.03;Integration und Antidiskriminierung;E;Sonstige ordentliche Erträge;2012;1.000,00
1.10.03;Integration und Antidiskriminierung;E;Sonstige ordentliche Erträge;2013;1.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;A;Abschreibungen;2008;10.887,60
1.10.04;Gleichberechtigung für Bürgerinnen;A;Abschreibungen;2009;5.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;A;Abschreibungen;2010;6.150,00
1.10.04;Gleichberechtigung für Bürgerinnen;A;Abschreibungen;2011;5.502,50
1.10.04;Gleichberechtigung für Bürgerinnen;A;Abschreibungen;2012;4.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;A;Abschreibungen;2013;5.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;A;Aufwendungen für Sach- und Dienstleistungen;2008;265.416,82
1.10.04;Gleichberechtigung für Bürgerinnen;A;Aufwendungen für Sach- und Dienstleistungen;2009;203.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;A;Aufwendungen für Sach- und Dienstleistungen;2010;104.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;A;Aufwendungen für Sach- und Dienstleistungen;2011;134.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;A;Aufwendungen für Sach- und Dienstleistungen;2012;104.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;A;Aufwendungen für Sach- und Dienstleistungen;2013;134.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2008;1.287.729,18
1.10.04;Gleichberechtigung für Bürgerinnen;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2009;1.332.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2010;1.348.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2011;1.348.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2012;1.348.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2013;1.348.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;A;Personalaufwendungen;2008;534.686,82
1.10.04;Gleichberechtigung für Bürgerinnen;A;Personalaufwendungen;2009;607.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;A;Personalaufwendungen;2010;626.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;A;Personalaufwendungen;2011;626.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;A;Personalaufwendungen;2012;626.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;A;Personalaufwendungen;2013;626.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;A;Versorgungsaufwendungen;2008;60.654,83
1.10.04;Gleichberechtigung für Bürgerinnen;A;Versorgungsaufwendungen;2009;58.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;A;Versorgungsaufwendungen;2010;57.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;A;Versorgungsaufwendungen;2011;62.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;A;Versorgungsaufwendungen;2012;62.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;A;Versorgungsaufwendungen;2013;62.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;E;Erträge aus Zuweisungen und Zuschüssen für laufende Zwecke und allgemeine Umlagen;2008;14.808,02
1.10.04;Gleichberechtigung für Bürgerinnen;E;Erträge aus Zuweisungen und Zuschüssen für laufende Zwecke und allgemeine Umlagen;2009;15.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;E;Erträge aus Zuweisungen und Zuschüssen für laufende Zwecke und allgemeine Umlagen;2010;15.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;E;Erträge aus Zuweisungen und Zuschüssen für laufende Zwecke und allgemeine Umlagen;2011;15.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;E;Erträge aus Zuweisungen und Zuschüssen für laufende Zwecke und allgemeine Umlagen;2012;15.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;E;Erträge aus Zuweisungen und Zuschüssen für laufende Zwecke und allgemeine Umlagen;2013;15.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;E;Privatrechtliche Leistungsentgelte;2008;312,90
1.10.04;Gleichberechtigung für Bürgerinnen;E;Privatrechtliche Leistungsentgelte;2009;1.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;E;Privatrechtliche Leistungsentgelte;2010;1.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;E;Privatrechtliche Leistungsentgelte;2011;1.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;E;Privatrechtliche Leistungsentgelte;2012;1.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;E;Privatrechtliche Leistungsentgelte;2013;1.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;E;Sonstige ordentliche Erträge;2008;69.292,71
1.10.04;Gleichberechtigung für Bürgerinnen;E;Sonstige ordentliche Erträge;2009;1.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;E;Sonstige ordentliche Erträge;2010;1.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;E;Sonstige ordentliche Erträge;2011;1.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;E;Sonstige ordentliche Erträge;2012;1.000,00
1.10.04;Gleichberechtigung für Bürgerinnen;E;Sonstige ordentliche Erträge;2013;1.000,00
1.10.05;Statistik und Stadtbeobachtung;A;Abschreibungen;2008;46.489,90
1.10.05;Statistik und Stadtbeobachtung;A;Abschreibungen;2009;36.000,00
1.10.05;Statistik und Stadtbeobachtung;A;Abschreibungen;2010;22.223,00
1.10.05;Statistik und Stadtbeobachtung;A;Abschreibungen;2011;16.362,50
1.10.05;Statistik und Stadtbeobachtung;A;Abschreibungen;2012;10.000,00
1.10.05;Statistik und Stadtbeobachtung;A;Abschreibungen;2013;10.000,00
1.10.05;Statistik und Stadtbeobachtung;A;Aufwendungen für Sach- und Dienstleistungen;2008;116.214,58
1.10.05;Statistik und Stadtbeobachtung;A;Aufwendungen für Sach- und Dienstleistungen;2009;85.000,00
1.10.05;Statistik und Stadtbeobachtung;A;Aufwendungen für Sach- und Dienstleistungen;2010;320.000,00
1.10.05;Statistik und Stadtbeobachtung;A;Aufwendungen für Sach- und Dienstleistungen;2011;320.000,00
1.10.05;Statistik und Stadtbeobachtung;A;Aufwendungen für Sach- und Dienstleistungen;2012;120.000,00
1.10.05;Statistik und Stadtbeobachtung;A;Aufwendungen für Sach- und Dienstleistungen;2013;120.000,00
1.10.05;Statistik und Stadtbeobachtung;A;Personalaufwendungen;2008;1.058.895,78
1.10.05;Statistik und Stadtbeobachtung;A;Personalaufwendungen;2009;1.249.000,00
1.10.05;Statistik und Stadtbeobachtung;A;Personalaufwendungen;2010;1.298.000,00
1.10.05;Statistik und Stadtbeobachtung;A;Personalaufwendungen;2011;1.398.000,00
1.10.05;Statistik und Stadtbeobachtung;A;Personalaufwendungen;2012;1.398.000,00
1.10.05;Statistik und Stadtbeobachtung;A;Personalaufwendungen;2013;1.398.000,00
1.10.05;Statistik und Stadtbeobachtung;A;Versorgungsaufwendungen;2008;197.686,19
1.10.05;Statistik und Stadtbeobachtung;A;Versorgungsaufwendungen;2009;185.000,00
1.10.05;Statistik und Stadtbeobachtung;A;Versorgungsaufwendungen;2010;190.000,00
1.10.05;Statistik und Stadtbeobachtung;A;Versorgungsaufwendungen;2011;203.000,00
1.10.05;Statistik und Stadtbeobachtung;A;Versorgungsaufwendungen;2012;203.000,00
1.10.05;Statistik und Stadtbeobachtung;A;Versorgungsaufwendungen;2013;203.000,00
1.10.05;Statistik und Stadtbeobachtung;E;Kostenersatzleistungen und -erstattungen;2010;0,00
1.10.05;Statistik und Stadtbeobachtung;E;Kostenersatzleistungen und -erstattungen;2011;1.000,00
1.10.05;Statistik und Stadtbeobachtung;E;Kostenersatzleistungen und -erstattungen;2012;1.000,00
1.10.05;Statistik und Stadtbeobachtung;E;Privatrechtliche Leistungsentgelte;2008;27.370,86
1.10.05;Statistik und Stadtbeobachtung;E;Privatrechtliche Leistungsentgelte;2009;20.000,00
1.10.05;Statistik und Stadtbeobachtung;E;Privatrechtliche Leistungsentgelte;2010;20.000,00
1.10.05;Statistik und Stadtbeobachtung;E;Privatrechtliche Leistungsentgelte;2011;20.000,00
1.10.05;Statistik und Stadtbeobachtung;E;Privatrechtliche Leistungsentgelte;2012;20.000,00
1.10.05;Statistik und Stadtbeobachtung;E;Privatrechtliche Leistungsentgelte;2013;20.000,00
1.10.08;Geschäftsstelle der KAV;A;Abschreibungen;2008;5.036,80
1.10.08;Geschäftsstelle der KAV;A;Abschreibungen;2009;3.000,00
1.10.08;Geschäftsstelle der KAV;A;Abschreibungen;2010;2.640,00
1.10.08;Geschäftsstelle der KAV;A;Abschreibungen;2011;3.522,50
1.10.08;Geschäftsstelle der KAV;A;Abschreibungen;2012;2.000,00
1.10.08;Geschäftsstelle der KAV;A;Abschreibungen;2013;2.000,00
1.10.08;Geschäftsstelle der KAV;A;Aufwendungen für Sach- und Dienstleistungen;2008;272.129,46
1.10.08;Geschäftsstelle der KAV;A;Aufwendungen für Sach- und Dienstleistungen;2009;288.000,00
1.10.08;Geschäftsstelle der KAV;A;Aufwendungen für Sach- und Dienstleistungen;2010;338.000,00
1.10.08;Geschäftsstelle der KAV;A;Aufwendungen für Sach- und Dienstleistungen;2011;288.000,00
1.10.08;Geschäftsstelle der KAV;A;Aufwendungen für Sach- und Dienstleistungen;2012;288.000,00
1.10.08;Geschäftsstelle der KAV;A;Aufwendungen für Sach- und Dienstleistungen;2013;288.000,00
1.10.08;Geschäftsstelle der KAV;A;Personalaufwendungen;2008;117.186,38
1.10.08;Geschäftsstelle der KAV;A;Personalaufwendungen;2009;132.000,00
1.10.08;Geschäftsstelle der KAV;A;Personalaufwendungen;2010;135.000,00
1.10.08;Geschäftsstelle der KAV;A;Personalaufwendungen;2011;135.000,00
1.10.08;Geschäftsstelle der KAV;A;Personalaufwendungen;2012;135.000,00
1.10.08;Geschäftsstelle der KAV;A;Personalaufwendungen;2013;135.000,00
1.10.08;Geschäftsstelle der KAV;A;Versorgungsaufwendungen;2008;34.832,28
1.10.08;Geschäftsstelle der KAV;A;Versorgungsaufwendungen;2009;6.000,00
1.10.08;Geschäftsstelle der KAV;A;Versorgungsaufwendungen;2010;6.000,00
1.10.08;Geschäftsstelle der KAV;A;Versorgungsaufwendungen;2011;7.000,00
1.10.08;Geschäftsstelle der KAV;A;Versorgungsaufwendungen;2012;7.000,00
1.10.08;Geschäftsstelle der KAV;A;Versorgungsaufwendungen;2013;7.000,00
1.10.08;Geschäftsstelle der KAV;E;Privatrechtliche Leistungsentgelte;2008;0,00
1.10.08;Geschäftsstelle der KAV;E;Privatrechtliche Leistungsentgelte;2009;1.000,00
1.10.08;Geschäftsstelle der KAV;E;Privatrechtliche Leistungsentgelte;2010;1.000,00
1.10.08;Geschäftsstelle der KAV;E;Privatrechtliche Leistungsentgelte;2011;1.000,00
